 -   ; 2'579.47 ; 10'697.40 ; 25'184.45 ; 5'652.02 ; 605.44 ; 5'766.81 ; 17'013.64 ; 2'542.27 ; 10'611.45 ; 2'315.68 ; 10'341.90 ; 662.83 ; 5'927.63 ; 17'035.84 ; 5'207.45 
 2'579.47 ; -   ; 2'848.48 ; 11'840.16 ; 633.18 ; 729.41 ; 673.13 ; 6'472.22 ; 13.70 ; 2'803.51 ; 23.06 ; 2'666.66 ; 670.27 ; 727.25 ; 6'486.65 ; 492.31 
 10'697.40 ; 2'848.48 ; -   ; 3'151.18 ; 844.75 ; 6'336.80 ; 798.35 ; 774.40 ; 2'887.34 ; 16.39 ; 3'141.80 ; 19.72 ; 6'159.05 ; 741.12 ; 779.03 ; 1'027.22 
 25'184.45 ; 11'840.16 ; 3'151.18 ; -   ; 7'123.87 ; 18'218.99 ; 6'999.33 ; 849.07 ; 11'917.97 ; 3'197.51 ; 12'428.62 ; 3'351.37 ; 17'915.49 ; 6'822.53 ; 845.04 ; 7'650.08 
 5'652.02 ; 633.18 ; 844.75 ; 7'123.87 ; -   ; 2'634.80 ; 21.24 ; 3'141.09 ; 651.81 ; 818.09 ; 773.82 ; 747.51 ; 2'519.58 ; 21.59 ; 3'150.54 ; 26.82 
 605.44 ; 729.41 ; 6'336.80 ; 18'218.99 ; 2'634.80 ; -   ; 2'716.55 ; 11'378.49 ; 710.09 ; 6'272.75 ; 593.22 ; 6'063.67 ; 16.32 ; 2'825.43 ; 11'396.57 ; 2'334.43 
 5'766.81 ; 673.13 ; 798.35 ; 6'999.33 ; 21.24 ; 2'716.55 ; -   ; 3'056.16 ; 692.36 ; 774.97 ; 817.86 ; 704.43 ; 2'600.00 ; 17.17 ; 3'065.95 ; 29.64 
 17'013.64 ; 6'472.22 ; 774.40 ; 849.07 ; 3'141.09 ; 11'378.49 ; 3'056.16 ; -   ; 6'531.66 ; 798.94 ; 6'908.86 ; 873.24 ; 11'138.29 ; 2'942.08 ; 14.16 ; 3'490.97 
 2'542.27 ; 13.70 ; 2'887.34 ; 11'917.97 ; 651.81 ; 710.09 ; 692.36 ; 6'531.66 ; -   ; 2'842.69 ; 24.29 ; 2'705.68 ; 651.69 ; 747.66 ; 6'543.03 ; 510.41 
 10'611.45 ; 2'803.51 ; 16.39 ; 3'197.51 ; 818.09 ; 6'272.75 ; 774.97 ; 798.94 ; 2'842.69 ; -   ; 3'094.88 ; 20.12 ; 6'094.17 ; 718.57 ; 803.30 ; 999.59 
 2'315.68 ; 23.06 ; 3'141.80 ; 12'428.62 ; 773.82 ; 593.22 ; 817.86 ; 6'908.86 ; 24.29 ; 3'094.88 ; -   ; 2'950.23 ; 540.41 ; 878.26 ; 6'924.49 ; 616.22 
 10'341.90 ; 2'666.66 ; 19.72 ; 3'351.37 ; 747.51 ; 6'063.67 ; 704.43 ; 873.24 ; 2'705.68 ; 20.12 ; 2'950.23 ; -   ; 5'889.85 ; 650.80 ; 879.10 ; 918.66 
 662.83 ; 670.27 ; 6'159.05 ; 17'915.49 ; 2'519.58 ; 16.32 ; 2'600.00 ; 11'138.29 ; 651.69 ; 6'094.17 ; 540.41 ; 5'889.85 ; -   ; 2'705.80 ; 11'156.71 ; 2'226.53 
 5'927.63 ; 727.25 ; 741.12 ; 6'822.53 ; 21.59 ; 2'825.43 ; 17.17 ; 2'942.08 ; 747.66 ; 718.57 ; 878.26 ; 650.80 ; 2'705.80 ; -   ; 2'950.64 ; 42.53 
 17'035.84 ; 6'486.65 ; 779.03 ; 845.04 ; 3'150.54 ; 11'396.57 ; 3'065.95 ; 14.16 ; 6'543.03 ; 803.30 ; 6'924.49 ; 879.10 ; 11'156.71 ; 2'950.64 ; -   ; 3'502.18 
 5'207.45 ; 492.31 ; 1'027.22 ; 7'650.08 ; 26.82 ; 2'334.43 ; 29.64 ; 3'490.97 ; 510.41 ; 999.59 ; 616.22 ; 918.66 ; 2'226.53 ; 42.53 ; 3'502.18 ; -   
