 -   ; 3'311.24 ; 13'687.86 ; 32'168.21 ; 7'343.64 ; 732.62 ; 7'279.21 ; 21'546.08 ; 3'369.51 ; 13'709.85 ; 2'835.19 ; 12'924.51 ; 874.12 ; 7'684.56 ; 21'916.19 ; 6'418.15 
 3'311.24 ; -   ; 3'606.30 ; 15'061.68 ; 822.80 ; 962.16 ; 803.08 ; 8'094.75 ; 11.99 ; 3'616.99 ; 30.78 ; 3'218.96 ; 814.45 ; 940.13 ; 8'323.97 ; 535.73 
 13'687.86 ; 3'606.30 ; -   ; 4'016.79 ; 1'017.81 ; 8'197.08 ; 1'042.57 ; 932.23 ; 3'543.59 ; 13.03 ; 4'141.43 ; 24.83 ; 7'748.68 ; 897.50 ; 1'008.34 ; 1'406.21 
 32'168.21 ; 15'061.68 ; 4'016.79 ; -   ; 8'957.12 ; 23'429.07 ; 9'036.04 ; 1'118.64 ; 14'929.93 ; 4'003.05 ; 16'135.87 ; 4'450.95 ; 22'665.99 ; 8'593.06 ; 1'035.47 ; 10'055.91 
 7'343.64 ; 822.80 ; 1'017.81 ; 8'957.12 ; -   ; 3'501.53 ; 15.61 ; 3'822.89 ; 793.36 ; 1'023.57 ; 1'088.08 ; 819.27 ; 3'211.64 ; 18.24 ; 3'980.15 ; 47.23 
 732.62 ; 962.16 ; 8'197.08 ; 23'429.07 ; 3'501.53 ; -   ; 3'457.84 ; 14'497.57 ; 992.78 ; 8'214.30 ; 714.31 ; 7'607.72 ; 18.61 ; 3'740.07 ; 14'802.38 ; 2'871.36 
 7'279.21 ; 803.08 ; 1'042.57 ; 9'036.04 ; 15.61 ; 3'457.84 ; -   ; 3'872.68 ; 774.10 ; 1'047.64 ; 1'063.90 ; 840.14 ; 3'170.09 ; 18.91 ; 4'031.01 ; 39.65 
 21'546.08 ; 8'094.75 ; 932.23 ; 1'118.64 ; 3'822.89 ; 14'497.57 ; 3'872.68 ; -   ; 8'001.14 ; 925.32 ; 8'887.81 ; 1'144.94 ; 13'899.01 ; 3'584.56 ; 14.26 ; 4'548.99 
 3'369.51 ; 11.99 ; 3'543.59 ; 14'929.93 ; 793.36 ; 992.78 ; 774.10 ; 8'001.14 ; -   ; 3'554.16 ; 38.92 ; 3'160.69 ; 841.73 ; 908.27 ; 8'226.67 ; 514.02 
 13'709.85 ; 3'616.99 ; 13.03 ; 4'003.05 ; 1'023.57 ; 8'214.30 ; 1'047.64 ; 925.32 ; 3'554.16 ; -   ; 4'153.61 ; 27.68 ; 7'765.58 ; 901.51 ; 1'002.70 ; 1'412.99 
 2'835.19 ; 30.78 ; 4'141.43 ; 16'135.87 ; 1'088.08 ; 714.31 ; 1'063.90 ; 8'887.81 ; 38.92 ; 4'153.61 ; -   ; 3'724.96 ; 588.91 ; 1'221.58 ; 9'127.65 ; 751.03 
 12'924.51 ; 3'218.96 ; 24.83 ; 4'450.95 ; 819.27 ; 7'607.72 ; 840.14 ; 1'144.94 ; 3'160.69 ; 27.68 ; 3'724.96 ; -   ; 7'176.64 ; 711.28 ; 1'230.74 ; 1'168.30 
 874.12 ; 814.45 ; 7'748.68 ; 22'665.99 ; 3'211.64 ; 18.61 ; 3'170.09 ; 13'899.01 ; 841.73 ; 7'765.58 ; 588.91 ; 7'176.64 ; -   ; 3'439.90 ; 14'196.35 ; 2'610.36 
 7'684.56 ; 940.13 ; 897.50 ; 8'593.06 ; 18.24 ; 3'740.07 ; 18.91 ; 3'584.56 ; 908.27 ; 901.51 ; 1'221.58 ; 711.28 ; 3'439.90 ; -   ; 3'737.10 ; 74.34 
 21'916.19 ; 8'323.97 ; 1'008.34 ; 1'035.47 ; 3'980.15 ; 14'802.38 ; 4'031.01 ; 14.26 ; 8'226.67 ; 1'002.70 ; 9'127.65 ; 1'230.74 ; 14'196.35 ; 3'737.10 ; -   ; 4'721.61 
 6'418.15 ; 535.73 ; 1'406.21 ; 10'055.91 ; 47.23 ; 2'871.36 ; 39.65 ; 4'548.99 ; 514.02 ; 1'412.99 ; 751.03 ; 1'168.30 ; 2'610.36 ; 74.34 ; 4'721.61 ; -   
